Variable,Value,Description, Customer Count ,Customer Percent, Market Base Count ,Market Base Percent,Index
AGE CODE,A,18-24,101,1.43%,502,1.30%,109
AGE CODE,B,25-29,186,2.63%,"1,023",2.66%,99
AGE CODE,C,30-34,370,5.23%,"2,110",5.48%,95
AGE CODE,D,35-39,533,7.53%,"2,877",7.48%,101
AGE CODE,E,40-44,614,8.68%,"3,725",9.68%,90
AGE CODE,F,45-49,631,8.92%,"3,715",9.66%,92
AGE CODE,G,50-54,679,9.60%,"3,741",9.72%,99
AGE CODE,H,55-59,553,7.82%,"3,361",8.74%,89
AGE CODE,I,60-64,645,9.12%,"3,567",9.27%,98
AGE CODE,K,65-69,88,1.24%,431,1.12%,111
AGE CODE,L,70-74,579,8.18%,"3,588",9.33%,88
AGE CODE,M,75+,718,10.15%,"3,665",9.53%,107
AGE CODE,U,UNKNOWN,"1,377",19.47%,"6,167",16.03%,121
HOME EQUITY ESTIMATE,A,"$0 - $9,999",524,7.41%,"5,452",14.17%,52
HOME EQUITY ESTIMATE,B,"$10,000 - $19,999",20,0.28%,255,0.66%,43
HOME EQUITY ESTIMATE,C,"$20,000 - $29,999",32,0.45%,417,1.08%,42
HOME EQUITY ESTIMATE,D,"$30,000 - $39,999",56,0.79%,505,1.31%,60
HOME EQUITY ESTIMATE,E,"$40,000 - $49,999",66,0.93%,506,1.32%,71
HOME EQUITY ESTIMATE,F,"$50,000 - $59,999",78,1.10%,621,1.61%,68
HOME EQUITY ESTIMATE,G,"$60,000 - $69,999",80,1.13%,622,1.62%,70
HOME EQUITY ESTIMATE,H,"$70,000 - $79,999",70,0.99%,480,1.25%,79
HOME EQUITY ESTIMATE,I,"$80,000 - $89,999",74,1.05%,447,1.16%,90
HOME EQUITY ESTIMATE,J,"$90,000 - $99,999",71,1.00%,465,1.21%,83
HOME EQUITY ESTIMATE,K,"$100,000 - $149,999",431,6.09%,"2,702",7.02%,87
HOME EQUITY ESTIMATE,L,"$150,000 - $199,999",394,5.57%,"2,421",6.29%,89
HOME EQUITY ESTIMATE,M,"$200,000 - $299,999",835,11.80%,"4,697",12.21%,97
HOME EQUITY ESTIMATE,N,"$300,000 - $499,999","1,630",23.04%,"8,485",22.06%,104
HOME EQUITY ESTIMATE,O,"$500,000 or More","2,162",30.56%,"10,397",27.02%,113
HOME EQUITY ESTIMATE,U,UNKNOWN,551,7.79%,                   - ,0.00%,       -
HOME VALUE,A,"UNDER $25,000",1,0.01%,7,0.02%,78
HOME VALUE,B,"$25,000 - $49,999",6,0.08%,56,0.15%,58
HOME VALUE,C,"$50,000 - $74,999",             -,0.00%,51,0.13%,       -
HOME VALUE,D,"$75,000 - $99,999",3,0.04%,67,0.17%,24
HOME VALUE,E,"$100,000 - $124,999",30,0.42%,237,0.62%,69
HOME VALUE,F,"$125,000 - $149,999",42,0.59%,216,0.56%,106
HOME VALUE,G,"$150,000 - $174,999",2,0.03%,37,0.10%,29
HOME VALUE,H,"$175,000 - $199,999",13,0.18%,73,0.19%,97
HOME VALUE,I,"$200,000 - $249,999",125,1.77%,976,2.54%,70
HOME VALUE,J,"$250,000 - $299,999",133,1.88%,"1,179",3.06%,61
HOME VALUE,K,"$300,000 - $349,999",157,2.22%,"1,143",2.97%,75
HOME VALUE,L,"$350,000 - $399,999",212,3.00%,"1,736",4.51%,66
HOME VALUE,M,"$400,000 - $449,999",313,4.42%,"1,836",4.77%,93
HOME VALUE,N,"$450,000 - $499,999",356,5.03%,"2,176",5.66%,89
HOME VALUE,O,"$500,000 - $599,999","1,147",16.21%,"6,535",16.99%,95
HOME VALUE,P,"$600,000 - $699,999","1,128",15.95%,"6,168",16.03%,99
HOME VALUE,Q,"$700,000 - $799,999",759,10.73%,"3,916",10.18%,105
HOME VALUE,R,"$800,000 - $899,999",541,7.65%,"2,899",7.54%,101
HOME VALUE,S,"$900,000 - $999,999",422,5.97%,"2,076",5.40%,111
HOME VALUE,T,"$1,000,000 OR MORE","1,432",20.24%,"7,038",18.29%,111
HOME VALUE,U,UNKNOWN,252,3.56%,50,0.13%,"2,741"
HOUSEHOLD INCOME,A,"UNDER $10,000",165,2.33%,395,1.03%,227
HOUSEHOLD INCOME,B,"$11,000 - $15,000",67,0.95%,349,0.91%,104
HOUSEHOLD INCOME,C,"$16,000 - $20,000",87,1.23%,508,1.32%,93
HOUSEHOLD INCOME,D,"$21,000 - $25,000",134,1.89%,816,2.12%,89
